name,bikes,stands
ROŠKA - STRELIŠKA,18,2
027 - SQUARE ALBERT I / ALBERT I SQUARE,7,18
19 - JARDIN DES PLANTES,9,5
8257-RABATAU - TEISSEIRE,0,11
102_AVDA.RAMON LLUL,4,16
083-MILLERAND,14,0
#00008-METZER PLAZ,9,6
015 - PONT DE JAMBES,6,9
00262 - ROND POINT CHEMIN DE BORDEROUGE,2,16
355 - PARNASSE,5,17
00197 - CASERNE PERIGNON,0,20
032_C/ CONDE DE ALTEA,6,14
246_PUERTO DE LOS AZORES,11,4
9085-SCHLOESING TEISSERE,0,0
157 - HELIOTROPES/HELIOTROPEN,13,11
154 - PLASKY/PLASKY,5,20
132 - DEUX CHAUSSEES,8,11
6100-PAUL PEYTRAL,5,3
045-PRAIRIE AU DUC,3,9
環水公園西　CANAL PARK WEST,6,12
134 - BASTOGNE/BASTENAKEN,16,9
207_CALLE IFNI,18,0
OLIVER BOND STREET,9,21
031 - PLACE DE BERCK-SUR-MER,6,9
04- MUSEE DES BEAUX ARTS,1,19
034-MÉDIATHÈQUE,25,0
208 - MELBA,16,9
079_AVDA. ARAGON II,1,19
COLLINS BARRACKS MUSEUM,5,33
123-TRARIEUX,10,10
048 - CONGRES,0,19
10004 - TONKIN,7,3
102_CALLE JUAN DE MATA CARRIAZO,17,3
03 - RUE DU GENERAL LECLERC - CENTRE ANCIEN,12,8
173_RONDA TAMARGUILLO,14,6
1013 - MARTINIÈRE,0,11
03 - PLACE DE LA CONCORDE,0,11
1346- REPUBLIQUE COUTELLERIE,5,2
014_AVENIDA SANCHEZ PIZJUAN,8,30
08- VANMARCKE,2,11
18-RADVILŲ RŪMAI,0,0
171_CALLE ALFONSO LASO DE LA VEGA,6,12
008_PLAZA_DE_LA_REINA_ESQUINA_CALLE_DEL_MAR,9,0
26001 - ST DIDIER,6,11
9010 - PISCINE DE VAISE,16,3
GOSPOSVETSKA C. - TURNERJEVA UL.,22,0
6028 - RÉCAMIER / TÊTE D'OR,7,9
00023 - COMBATTANTS,16,10
10034 - DOCTEUR DAMIDOT,14,3
